time,diameter_km,mean_precip,area_km2,frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time.1,timestr,latitude,longitude,area,date,cell,time_cell,cell_parent_track_id,cell_child_feature_count,cell_starts_with_split,cell_ends_with_merge,Merge,Split,Both,Free
2024-06-01 09:00:00,12.615156287810914,45.765526,124.989966596582,36,118,273.3042209435019,177.44725937177398,116,5.0,529,2024-06-01 09:00:00,2024-06-01 09:00:00,29.261957790569124,-96.22052837142483,,2024-06-01,443,0 days 00:15:00,13,3,False,False,,,,Free
2024-06-01 09:00:00,1.660250540207588,9.6,2.1648965174365,36,133,321.0,222.5,2,5.0,537,2024-06-01 09:00:00,2024-06-01 09:00:00,28.785000000004068,-95.77000097801692,,2024-06-01,463,0 days 00:00:00,14,5,False,False,,,,Free
2024-06-01 09:15:00,3.309825977777608,9.6,8.60399604180544,37,97,254.75,327.5,8,5.0,552,2024-06-01 09:15:00,2024-06-01 09:15:00,29.44750000000417,-94.72000100802175,,2024-06-01,439,0 days 00:30:00,12,3,False,False,,,,Free
2024-06-01 09:15:00,12.668776743083477,16.410255,126.05475916118894,37,101,272.43445693016065,181.27355804283107,117,5.0,556,2024-06-01 09:15:00,2024-06-01 09:15:00,29.270655430702536,-96.18226538580768,,2024-06-01,443,0 days 00:30:00,13,3,False,False,,,,Free
2024-06-01 09:15:00,,,,37,107,319.96,225.52,25,5.0,561,2024-06-01 09:15:00,2024-06-01 09:15:00,28.79540000000407,-95.73980097887988,,2024-06-01,463,0 days 00:15:00,14,5,False,False,,,,Free
2024-06-01 09:30:00,7.598676729475406,23.999998,45.34880202066069,38,93,294.54335842390634,250.77669175150328,42,5.0,578,2024-06-01 09:30:00,2024-06-01 09:30:00,29.04956641576505,-95.4872340685822,,2024-06-01,497,0 days 00:00:00,15,3,False,False,,,,Free
2024-06-01 09:30:00,7.603304391408971,22.62857,45.40405449034622,38,94,308.0634791954359,235.1455969757551,42,5.0,579,2024-06-01 09:30:00,2024-06-01 09:30:00,28.91436520804973,-95.64354501187296,,2024-06-01,498,0 days 00:00:00,16,3,False,False,,,,Free
2024-06-01 09:30:00,10.433371724395332,29.04304,85.49470992283247,38,95,318.62324944180784,229.04622512737703,79,5.0,580,2024-06-01 09:30:00,2024-06-01 09:30:00,28.808767505586,-95.70453872861378,,2024-06-01,463,0 days 00:30:00,14,5,False,False,,,,Free
2024-06-01 09:45:00,8.372939388179864,52.51765,55.06121317706644,39,93,294.18548320894087,252.0906282992839,57,5.0,596,2024-06-01 09:45:00,2024-06-01 09:45:00,29.0531451679147,-95.47409470347992,,2024-06-01,497,0 days 00:15:00,15,3,False,False,,,,Free
2024-06-01 09:45:00,13.478516799155898,96.29091,142.6836103672194,39,95,306.1280289368501,236.4509228039902,132,5.0,598,2024-06-01 09:45:00,2024-06-01 09:45:00,28.93371971063559,-95.6304917539636,,2024-06-01,498,0 days 00:15:00,16,3,False,False,,,,Free
2024-06-01 09:45:00,12.142356255528028,31.671028,115.7966040607291,39,96,319.1997904357517,233.7464198587066,109,5.0,599,2024-06-01 09:45:00,2024-06-01 09:45:00,28.803002095646555,-95.6575367826436,,2024-06-01,463,0 days 00:45:00,14,5,False,False,,,,Free
2024-06-01 10:00:00,7.506658571897165,15.219512,44.25712596505798,40,154,292.6406987678497,253.4277620359737,42,5.0,614,2024-06-01 10:00:00,2024-06-01 10:00:00,29.06859301232561,-95.46072336649512,,2024-06-01,497,0 days 00:30:00,15,3,False,False,,,,Free
2024-06-01 10:00:00,19.02171868352805,65.3384,284.17730439761107,40,155,303.6936926716782,239.1371585722273,264,5.0,615,2024-06-01 10:00:00,2024-06-01 10:00:00,28.95806307328732,-95.60362939704883,,2024-06-01,498,0 days 00:30:00,16,3,False,False,,,,Free
2024-06-01 10:00:00,2.625036243984876,9.6,5.412033666977828,40,158,320.8333333333333,239.8333333333333,6,5.0,617,2024-06-01 10:00:00,2024-06-01 10:00:00,28.786666666670737,-95.59666764963674,,2024-06-01,463,0 days 01:00:00,14,5,False,False,,,,Free
2024-06-01 10:45:00,8.171052218505823,21.55102,52.43796788563967,43,190,204.2747225756828,408.6917386003221,49,5.0,712,2024-06-01 10:45:00,2024-06-01 10:45:00,29.952252774247423,-93.90808364522002,,2024-06-01,617,0 days 00:00:00,17,4,False,False,,,,Free
2024-06-01 10:45:00,2.338202119229463,9.6,4.293920317646389,43,194,234.8571428571429,224.7142857142857,7,5.0,715,2024-06-01 10:45:00,2024-06-01 10:45:00,29.64642857143277,-95.7478581215068,,2024-06-01,618,0 days 00:00:00,18,3,False,False,,,,Free
2024-06-01 11:00:00,11.788204370011186,43.01177,109.1403128686639,44,253,204.0279435832645,409.5550123850672,104,5.0,754,2024-06-01 11:00:00,2024-06-01 11:00:00,29.954720564171605,-93.89945090761928,,2024-06-01,617,0 days 00:15:00,17,4,False,False,,,,Free
2024-06-01 11:00:00,13.064003399742708,38.092804,134.04247891467153,44,258,225.60876080433712,154.36667796090364,125,5.0,759,2024-06-01 11:00:00,2024-06-01 11:00:00,29.738912391960845,-96.451334178938,,2024-06-01,657,0 days 00:00:00,19,4,False,False,,,,Free
2024-06-01 11:00:00,19.855448253386253,143.73334,309.63444936428044,44,273,249.00022020970064,311.97727477809104,290,5.0,770,2024-06-01 11:00:00,2024-06-01 11:00:00,29.504997797907173,-94.8752282558051,,2024-06-01,668,0 days 00:00:00,20,3,False,False,,,,Free
2024-06-01 11:00:00,2.356659216851695,391.2,4.361977828396194,44,331,399.4968927899024,33.40367682280888,4,5.0,806,2024-06-01 11:00:00,2024-06-01 11:00:00,28.00003107210492,-97.66096415575248,,2024-06-01,701,0 days 00:00:00,21,7,False,False,,,,Free
2024-06-01 11:15:00,16.045009639205396,46.780956,202.19473655740305,45,272,201.51351213548585,410.32935692962695,189,5.0,810,2024-06-01 11:15:00,2024-06-01 11:15:00,29.9798648786494,-93.89170746239496,,2024-06-01,617,0 days 00:30:00,17,4,False,False,,,,Free
2024-06-01 11:15:00,16.480663135541274,36.518593,213.32376810813332,45,283,222.27315565718808,155.34043371254313,201,5.0,820,2024-06-01 11:15:00,2024-06-01 11:15:00,29.772268443432345,-96.44159662169989,,2024-06-01,657,0 days 00:15:00,19,4,False,False,,,,Free
2024-06-01 11:15:00,2.337998899391613,9.6,4.293173956274967,45,296,234.0,232.75,4,5.0,828,2024-06-01 11:15:00,2024-06-01 11:15:00,29.655000000004204,-95.66750098094592,,2024-06-01,618,0 days 00:30:00,18,3,False,False,,,,Free
2024-06-01 11:15:00,23.4280891717484,129.0853,431.0857014369295,45,299,247.5246433195773,315.0049688397748,408,5.0,830,2024-06-01 11:15:00,2024-06-01 11:15:00,29.51975356680841,-94.84495131605348,,2024-06-01,668,0 days 00:15:00,20,3,False,False,,,,Free
2024-06-01 11:15:00,2.356659216851695,1502.4,4.361977828396194,45,354,399.35895551705386,33.44069721761377,4,5.0,859,2024-06-01 11:15:00,2024-06-01 11:15:00,28.001410444833407,-97.66059395181496,,2024-06-01,701,0 days 00:15:00,21,7,False,False,,,,Free
2024-06-01 11:15:00,4.723815659137169,10.8,17.525715780490458,45,359,447.8469827617214,127.8017241361592,16,5.0,862,2024-06-01 11:15:00,2024-06-01 11:15:00,27.516530172386656,-96.71698370959422,,2024-06-01,741,0 days 00:00:00,22,3,False,False,,,,Free
2024-06-01 11:30:00,22.63266838538152,83.15745,402.3105317147487,46,320,201.0601585601792,411.8346521964971,387,5.0,864,2024-06-01 11:30:00,2024-06-01 11:30:00,29.984398414402463,-93.87665451015636,,2024-06-01,617,0 days 00:45:00,17,4,False,False,,,,Free
2024-06-01 11:30:00,14.588380413415756,27.938463,167.14909929285915,46,329,218.10583308363863,154.8794864955746,157,5.0,873,2024-06-01 11:30:00,2024-06-01 11:30:00,29.813941669167843,-96.44620609373784,,2024-06-01,657,0 days 00:30:00,19,4,False,False,,,,Free
2024-06-01 11:30:00,3.092837905442886,17.828571,7.512841043068622,46,343,234.101694913542,240.24788135807256,8,5.0,884,2024-06-01 11:30:00,2024-06-01 11:30:00,29.653983050868785,-95.59252216950784,,2024-06-01,618,0 days 00:45:00,18,3,False,False,,,,Free
2024-06-01 11:30:00,8.432670417968458,13.107693,55.84960871826471,46,347,240.5523228613844,101.42656030237605,53,5.0,886,2024-06-01 11:30:00,2024-06-01 11:30:00,29.58947677139035,-96.98073534039509,,2024-06-01,759,0 days 00:00:00,23,4,False,False,,,,Free
2024-06-01 11:30:00,25.11812205578524,55.205208,495.5234529261796,46,349,246.1162630603402,318.0693952337268,465,5.0,887,2024-06-01 11:30:00,2024-06-01 11:30:00,29.533837369400786,-94.81430705298963,,2024-06-01,668,0 days 00:30:00,20,3,False,False,,,,Free
